Part Name,Quantity,CAD Unit Price,USD Unit Price,USD Total Cost,Links,Notes,,
MEISHILE 24V 25A 600W Switching Power Supply,1,$42.99,$31.38,$31.38,"MEISHILE 24V 25A 600W Switching Power Supply Adapter AC to DC Transformer Converter for LED Driver Strip Light Lamp, Amplifier, Machine, 120V 110V to 24Volt 3A 4A 5A 8A 10A 15A 20Amp : Amazon.ca: Tools & Home Improvement",,,
ELEGOO PLA Filament 1.75mm Black 1KG,1,$23.99,$17.51,$17.51,"ELEGOO PLA Filament 1.75mm Black 1KG,3D Printer Filament Dimensional Accuracy +/- 0.02mm,1kg Cardboard Spool(2.2lbs) 3D Printing Filament Fits for Most FDM 3D Printers : Amazon.ca: Industrial & Scientific",,,
Creality Ender 3 Direct Drive Extruder Upgrade Kit,1,$41.39,$30.21,$30.21,"Official Creality Ender 3 Direct Drive Extruder Upgrade Kit with 42-40 Stepper Motor Hotend Kit, Support Flexible TPU Filament, Compatible with Ender 3 Pro/Ender 3 V2 3D Printer : Amazon.ca: Industrial & Scientific",,,
Mks Robin Nano V3.1 Eagle 32bit Control Panel TMC2209 with Screen,1,$52.99,$38.68,$38.68,Makerbase Mks Robin Nano V3.1 Eagle 32bit Control Panel TMC2209 Motor Drive WIFI 3D Touch Screen 3D Printer Parts Motherboard - AliExpress,,,
Heat Resistant Soft Silicone Wire 5 Colors in A Box Kit 30AWG 100 meters,1,$14.68,$10.72,$10.72,Super Soft Copper Wire Box (5 Colors Mix Kit) Heat Resistant Flexible Silicone 30/28/26/24/22/20AWG Electric Tinned Copper Cable - AliExpress,,Shipping USD,$0.00
Crimper Cable Cutter Adjustable Automatic Wire Stripper,1,$8.39,$6.12,$6.12,Crimper Cable Cutter Adjustable Automatic Wire Stripper Multifunctional Stripping Crimping Pliers Terminal Hand Tool - AliExpress,,Total USD,$313.96
10PCS PCB Terminal Block Connector,1,$1.61,$1.18,$1.18,10/50PCS PCB Terminal Block Connector Pitch 5.0mm KF301 Straight Pin 2P 3P Screw PCB Terminal Blocks Connector Assortment Kit - AliExpress 13,,,
200Pcs/Box 2.54mm Pitch JST SM/Dupont Jumper Wire Connector Kit,1,$7.39,$5.39,$5.39,200Pcs/Box 2.54mm Pitch JST SM/Dupont Jumper Wire Connector Kit 2/3/4/5Pin Male/Female Housing Pin Header Crimp Terminal Adapter - AliExpress,,,
M4 Bolt Kit,1,$8.59,$6.27,$6.27,M4 M5 M6 Metric Bolt Kit Stainless Steel Assortment Set with Hex Head Bolts Nuts Flat & Lock Washer for DIY Home Industrial Use - AliExpress,,,
M3 Bolt Kit,1,$8.80,$6.42,$6.42,320/640pcs M3 Screw Stainless Steel Hexagon Hex Socket Screws Bolt Nuts Set Round Flat Cap Head Bolt Washer Assortment Kit - AliExpress,,,
4x10x4 mm Bearings Set of 10,1,$5.79,$4.23,$4.23,10/50pcs Small Bearings 2mm 3mm 4mm 5mm 6mm 7mm 8mm 9mm 10mm Bore 3x7x3 5x10x4 5x11x4 8x22x7 10x15x4 mm Miniature Bearing - AliExpress,,,
18x30x7 mm Bearings Set of 10,1,$11.89,$8.68,$8.68,10pcs 16100 12268 15267 15268 16287 163010 18287 18307 20307 24377 25376 2RS RS Bearings Rubber Sealed Bicycle Ball Bearing - AliExpress,"This link is for 5*10*4 mm bearings, should I change it to 4*10*4",,
Bore with teeth set of 6,1,$8.51,$6.21,$6.21,2/4/6pcs GT2 Idler Timing Pulley 16/20 Tooth Wheel Bore 3/5mm Aluminium Gear Teeth Width 6/10mm For Ender 3 CR10 Printer Reprap - AliExpress,,,
Belt 6mm 5m open,1,$5.32,$3.88,$3.88,5/10M GT2 Belt PU Steel Wire Timing Pulley GT2-6mm Open Synchronous Rubber Belts Width 6mm for DIY CNC 3D Printer Parts - AliExpress,"The link is wrong, this is not a belt",,
Bore without teeth set of 6,1,$8.60,$6.28,$6.28,2/4/6pcs GT2 Idler Timing Pulley 16/20 Tooth Wheel Bore 3/5mm Aluminium Gear Teeth Width 6/10mm For Ender 3 CR10 Printer Reprap - AliExpress,,,
Digital Caliper,1,$7.25,$5.29,$5.29,150mm 100mm Electronic Digital Caliper Carbon Fiber Dial Vernier Caliper Gauge Micrometer Measuring Tool Digital Ruler - AliExpress,,,
5.18:1 Gearbox + Stepper motor,2,$33.58,$24.51,$49.03,1Pc 42BYG stepper motor 40mm body length with 3.71:1 -139:1 ratio NEMA17 planetary gear stepping motor with gearbox - AliExpress,,,
14:1 Gearbox + Stepper motor,1,$34.58,$25.24,$25.24,1Pc 42BYG stepper motor 40mm body length with 3.71:1 -139:1 ratio NEMA17 planetary gear stepping motor with gearbox - AliExpress,,,
19:1 Gearbox + Stepper motor,1,$34.58,$25.24,$25.24,1Pc 42BYG stepper motor 40mm body length with 3.71:1 -139:1 ratio NEMA17 planetary gear stepping motor with gearbox - AliExpress,,,
51:1 Gearbox + Stepper motor,1,$35.58,$25.97,$25.97,1Pc 42BYG stepper motor 40mm body length with 3.71:1 -139:1 ratio NEMA17 planetary gear stepping motor with gearbox - AliExpress,,,
,,,$0.00,$0.00,,,,
,,$396.50,$289.45,$313.96,,,,
